comboId,facetId,facetName,conceptId,conceptName,rdId,rdLabel,rdType,cuiMap,documentToCui,scopeNotes,lifecycleStage
conditionfidp768,condition,Conditions,fidp768,Alcoholic Cardiomyopathy,,,,C0007192,,,Active
conditionfidp9203,condition,Conditions,fidp9203,Alcoholic Hepatitis,uh3001,alcholic hepatitis,Condition,,,,Active
conditionfidp2585,condition,Conditions,fidp2585,Allergic Reactions,,,,,,MULTI,Active
conditionfidp8722,condition,Conditions,fidp8722,Allergic Rhinitis,gapdoc00020,allergic rhinitis,Condition,,,,Active
conditionfidp1102,condition,Conditions,fidp1102,Allergies,,,,,,MULTI,Active
conditionfidp8488,condition,Conditions,fidp8488,Alpha-1 Antitrypsin Deficiency,,,,C0221757,,,Active
conditionfidp9204,condition,Conditions,fidp9204,Altered Mental Status,,,,,abq3226,,Active
conditionfidp1088,condition,Conditions,fidp1088,Altitude Sickness,abn0652,altitude sickness,Condition,,,,Active
conditionfidp9205,condition,Conditions,fidp9205,Alzheimer's Disease,uf8765,Alzheimers dementia,Condition,,,,Active
conditionfidp3002,condition,Conditions,fidp3002,Amenorrhea,,,,,,MULTI,Active
conditionfidp507,condition,Conditions,fidp507,Amnesia,,,,,,MULTI,Active
conditionfidp1668,condition,Conditions,fidp1668,Anal Cancer,,,,,ncicdr0000258179 ,,Active
conditionfidp3242,condition,Conditions,fidp3242,Anal Fissure,uh3165,anal fissure,Condition,,,,Active
conditionfidp3211,condition,Conditions,fidp3211,Anal Fistula,,,,C0205929,,,Active
conditionfidp8489,condition,Conditions,fidp8489,Anal Itching,uf7702,anal itching (ani pruritis),Condition,,,,Active
conditionfidp9206,condition,Conditions,fidp9206,Anal Pain,uh3170,anal pain,Symptom,,,,Active
conditionfidp9207,condition,Conditions,fidp9207,Anaphylactic Reaction,te8180,anaphylactic reaction,Condition,,,,Active
conditionfidp1742,condition,Conditions,fidp1742,Anemia,uf8147,"anemia, NOS",Condition,,,,Active
conditionfidp9208,condition,Conditions,fidp9208,Anemia During Pregnancy,,,,,,MULTI (uh2814),Active
conditionfidp8436,condition,Conditions,fidp8436,Anemia of Chronic Disease,uf8158,anemia of chronic disease,Condition,,,,Active
conditionfidp9209,condition,Conditions,fidp9209,Anemia of Prematurity,,,,C0158996,,,Active
conditionfidp9210,condition,Conditions,fidp9210,Anger and Aggressive Behavior,,,,,,MULTI,Active
conditionfidp9211,condition,Conditions,fidp9211,Angina Chest Pain,gapdoc00016,angina,Condition,,,,Active
conditionfidp2298,condition,Conditions,fidp2298,Angioedema,uf8353,angioedema,Condition,,,,Active
conditionfidp5030,condition,Conditions,fidp5030,Animal Bites,uh3283,animal bites,Condition,,,,Active
conditionfidp1005,condition,Conditions,fidp1005,Ankle Injuries and Problems,,,,,,BROAD,Active
conditionfidp9212,condition,Conditions,fidp9212,Ankle Laxity,,,,,bo1574,,Active
conditionfidp608,condition,Conditions,fidp608,Ankle Sprain,te8225,ankle sprain,Condition,,,,Active
conditionfidp866,condition,Conditions,fidp866,Ankylosing Spondylitis,uf8795,ankylosing spondylitis,Condition,,,,Active
conditionfidp2299,condition,Conditions,fidp2299,Anorectal Disorders,,,,,,BROAD,Active
conditionfidp5032,condition,Conditions,fidp5032,Anorexia,te8230,anorexia nervosa,Condition,,,,Active
conditionfidp1776,condition,Conditions,fidp1776,Anthrax,,,,,ty6357,,Active
conditionfidp1529,condition,Conditions,fidp1529,Antiphospholipid Syndrome (APS),ut3224,antiphospholipid antibody syndrome,Condition,,,,Active
conditionfidp9213,condition,Conditions,fidp9213,Anxiety,ut2425,anxiety disorder,Condition,,,,Active
conditionfidp9214,condition,Conditions,fidp9214,Aortic Aneurysm,,,,,,MULTI,Active
conditionfidp8490,condition,Conditions,fidp8490,Aortic Dissection,,,,C0340643,,,Active
conditionfidp8491,condition,Conditions,fidp8491,Aortic Valve Regurgitation,uh3414,aortic valve regurgitation,Condition,,,,Active
conditionfidp5080,condition,Conditions,fidp5080,Aortic Valve Stenosis,ut2752,aortic valve stenosis,Condition,,,,Active
conditionfidp1785,condition,Conditions,fidp1785,Appendicitis,gapdoc00106,appendicitis,Condition,,,,Active
conditionfidp2301,condition,Conditions,fidp2301,Arm Injuries and Problems,,,,,,BROAD,Active
conditionfidp8923,condition,Conditions,fidp8923,Arm Pain,uh2754,arm pain,Symptom,,,,Active
conditionfidp2302,condition,Conditions,fidp2302,Arteriovenous Malformation (AVM),gapdoc00009,"Arteriovenous malformations, cerebral",Condition,,,,Active
conditionfidp9215,condition,Conditions,fidp9215,Arthritis (General),,,,,,MULTI,Active
conditionfidp8372,condition,Conditions,fidp8372,Asbestosis,,,,C0003949,,,Active
conditionfidp1304,condition,Conditions,fidp1304,Ascites,zc1041,ascites,Condition,,,,Active
conditionfidp9216,condition,Conditions,fidp9216,Asherman's Syndrome,,,,C0156372,,,Active
conditionfidp9217,condition,Conditions,fidp9217,Asperger's Syndrome,abn1051,Asperger's syndrome,Condition,,,,Active
conditionfidp9218,condition,Conditions,fidp9218,Aspiration Pneumonia,abk9590,aspiration pneumonia,Condition,,,,Active
conditionfidp1124,condition,Conditions,fidp1124,Asthma,uh2694,asthma,Condition,,,,Active
conditionfidp8647,condition,Conditions,fidp8647,Asthma Attack,gapdoc00029,asthma: attack/exacerbation,Condition,,,,Active
conditionfidp3176,condition,Conditions,fidp3176,Asthma in Children,,,,C0264408,,,Active
conditionfidp1580,condition,Conditions,fidp1580,Astigmatism,zp4247,astigmatism,Condition,,,,Active
conditionfidp9104,condition,Conditions,fidp9104,Astrocytoma,,,,,,BROAD,Active
conditionfidp9219,condition,Conditions,fidp9219,Athlete's Foot,uf8061,tinea pedis,Condition,,,,Active
conditionfidp5865,condition,Conditions,fidp5865,Atrial Fibrillation (A-Fib),ut2756,atrial fibrillation,Condition,,,,Active
conditionfidp9220,condition,Conditions,fidp9220,Atrial Septal Defect (ASD),uh3419,atrial septal defect,Condition,,,,Active
conditionfidp5716,condition,Conditions,fidp5716,Atrioventricular Septal Defect (AVSD),,,,,abp6583,,Active
conditionfidp9221,condition,Conditions,fidp9221,Atrophic Vaginitis,uh2683,atrophic vaginitis,Condition,,,,Active
conditionfidp9222,condition,Conditions,fidp9222,Atypical Teratoid/Rhabdoid Tumor (AT/RT),,,,C1266184,,,Active
conditionfidp1685,condition,Conditions,fidp1685,Autism,ut3151,autism,Condition,,,,Active
conditionfidp418,condition,Conditions,fidp418,Autism Spectrum Disorder,,,,,,MULTI,Active
conditionfidp9223,condition,Conditions,fidp9223,Autoimmune Hepatitis,zc1051,autoimmune hepatitis,Condition,,,,Active
conditionfidp2304,condition,Conditions,fidp2304,Autonomic Dysreflexia,,,,C0238015,,,Active
conditionfidp12,condition,Conditions,fidp12,Autosomal Recessive Disease,,,,C0085548,,,Active
conditionfidp250,condition,Conditions,fidp250,Back Injuries and Problems,,,,,,BROAD,Active
conditionfidp1166,condition,Conditions,fidp1166,Back Pain,te8235,"back pain, NOS ",condition,,,,Active
conditionfidp9224,condition,Conditions,fidp9224,Back Strain or Sprain,uf7029,back strain/sprain,Condition,,,,Active
conditionfidp9225,condition,Conditions,fidp9225,Bacterial Endocarditis,ut2760,bacterial endocarditis,Condition,,,,Active
conditionfidp2305,condition,Conditions,fidp2305,Bacterial Infections,,,,,,MULTI,Active
conditionfidp8370,condition,Conditions,fidp8370,Bacterial Meningitis,tw12350,bacterial meningitis,Condition,,,,Active
conditionfidp1215,condition,Conditions,fidp1215,Bacterial Vaginosis,uh2668,bacterial vaginosis,Condition,,,,Active
conditionfidp9226,condition,Conditions,fidp9226,Bad Breath (Halitosis),abn0571,halitosis,Symptom,,,,Active
conditionfidp8523,condition,Conditions,fidp8523,Bad Taste in Mouth,,,,,not259009,,Active
conditionfidp9227,condition,Conditions,fidp9227,Baker's Cyst,uh5176,baker's cyst,Condition,,,,Active
conditionfidp2306,condition,Conditions,fidp2306,Balanitis,bo1275,balanitis,Condition,,,,Active
conditionfidp9228,condition,Conditions,fidp9228,Barrett's Esophagus,zx4013,barrett's esophagus,Condition,,,,Active
conditionfidp2307,condition,Conditions,fidp2307,Bartholin Gland Cyst,uf7104,bartholin's gland cyst,Condition,,,,Active
conditionfidp9229,condition,Conditions,fidp9229,Basal Cell Skin Cancer,ad1227,basal cell carcinoma (Scope note),Condition,,,,Active
conditionfidp703,condition,Conditions,fidp703,Bedbugs,,,,,za1160,,Active
conditionfidp1319,condition,Conditions,fidp1319,Bed-Wetting,zc1081,enuresis,Condition,,,,Active
conditionfidp9230,condition,Conditions,fidp9230,Bell's Palsy,ug5388,bell's palsy,Condition,,,,Active
conditionfidp9231,condition,Conditions,fidp9231,Benign Brain Tumor,zc1401,benign brain tumor,Condition,,,,Active
conditionfidp9232,condition,Conditions,fidp9232,Benign Paroxysmal Positional Vertigo (BPPV),ut1800,benign paroxysmal positional vertigo (BPPV),Condition,,,,Active
conditionfidp9233,condition,Conditions,fidp9233,Bicep Tendinitis,,,,C0151434,,,Active
conditionfidp9234,condition,Conditions,fidp9234,Bicuspid Aortic Valve,ug5699,bicuspid aortic valve,Condition,,,,Active
conditionfidp9235,condition,Conditions,fidp9235,Bile Duct Cancer,,,,,ncicdr0000258011,,Active
conditionfidp9236,condition,Conditions,fidp9236,Bile Duct Infection (Cholangitis),zc1061,cholangitis,Condition,,,,Active
conditionfidp2309,condition,Conditions,fidp2309,Biliary Atresia,abo1695,biliary atresia,Condition,,,,Active
conditionfidp8493,condition,Conditions,fidp8493,Binge Eating,,,,,hw266473 ,,Active
conditionfidp966,condition,Conditions,fidp966,Bipolar Disorder,tw12382,bipolar disorder,Condition,,,,Active
conditionfidp1556,condition,Conditions,fidp1556,Bird Flu,,,,,tp23638spec ,,Active
conditionfidp1643,condition,Conditions,fidp1643,Birth Defects,,,,,,BROAD,Active
conditionfidp2310,condition,Conditions,fidp2310,Birthmarks,zc1291,birthmarks,Condition,,,,Active
conditionfidp2311,condition,Conditions,fidp2311,Bites and Stings,,,,,,BROAD,Active
conditionfidp2407,condition,Conditions,fidp2407,Biting,ad1696,"biting behavior, child",Condition,,,,Active
conditionfidp2312,condition,Conditions,fidp2312,Black Eye,uh3338,black eye,Condition,,,,Active
conditionfidp901,condition,Conditions,fidp901,Black Lung Disease,,,,C0003165,,,Active
conditionfidp8494,condition,Conditions,fidp8494,Blackouts,,,,,sig263659 ,,Active
conditionfidp1801,condition,Conditions,fidp1801,Bladder Cancer,zc1121,bladder cancer,Condition,,,,Active
conditionfidp161,condition,Conditions,fidp161,Bladder Prolapse (Cystocele),tw12334,cystocele,,,,,Active
conditionfidp2313,condition,Conditions,fidp2313,Bleeding After Surgery,,,,,abo3900,,Active
conditionfidp9237,condition,Conditions,fidp9237,Blepharitis (Eyelid Inflammation),ut1934,blepharitis,Condition,,,,Active
conditionfidp2314,condition,Conditions,fidp2314,Blighted Ovum,tw12254,blighted ovum,Condition,,,,Active
conditionfidp5072,condition,Conditions,fidp5072,Blisters,abj9925,blisters (mainly traumatic/hand and foot),Condition,,,,Active
conditionfidp294,condition,Conditions,fidp294,Blocked or Infected Sweat Glands,,,,,aa65554,,Active
conditionfidp1755,condition,Conditions,fidp1755,Blocked Tear Duct,gapdoc00186,blocked tear duct,Condition,,,,Active
conditionfidp2316,condition,Conditions,fidp2316,Blood Clots,gapdoc00153,blood clot,Condition,,,,Active
conditionfidp9238,condition,Conditions,fidp9238,Blood in the Eye (Subconjunctival Hemorrhage),uf7760,subconjuctival hemorrhage,Condition,,,,Active
conditionfidp1678,condition,Conditions,fidp1678,Blood in the Urine,uf7783,hematuria,Symptom,,,,Active
conditionfidp1658,condition,Conditions,fidp1658,Bloom Syndrome,,,,C0005859,,,Active
conditionfidp1165,condition,Conditions,fidp1165,Body Piercing Problems,,,,,,BROAD (hw250805),Active
conditionfidp1100,condition,Conditions,fidp1100,Boils,zx1778,skin abscess,Unknown,,,,Active
conditionfidp2318,condition,Conditions,fidp2318,Bone Infection (Osteomyelitis),zc1895 ,osteomyelitis,Condition,,,,Active
conditionfidp2319,condition,Conditions,fidp2319,Bone Spurs,,,,,tp23002spec,,Active
conditionfidp8495,condition,Conditions,fidp8495,Botulism,,,,,"nord95,te6317",,Active
conditionfidp908,condition,Conditions,fidp908,Bowel Obstruction,uh3175,intestinal obstruction,Condition,,,,Active
conditionfidp9239,condition,Conditions,fidp9239,Brachial Plexus Palsy,,,,,abp9050 ,,Active
conditionfidp8678,condition,Conditions,fidp8678,Bradycardia (Slow Heart Rate),ut2764,bradycardia,Condition,,,,Active
conditionfidp5067,condition,Conditions,fidp5067,Brain Aneurysm,gapdoc00130,brain aneurysm,Condition,,,,Active
conditionfidp1606,condition,Conditions,fidp1606,Brain Cancer,,,,,,MULTI,Active
conditionfidp9088,condition,Conditions,fidp9088,Brain Stem Glioma,,,,,ncicdr0000062962,,Active
conditionfidp9240,condition,Conditions,fidp9240,Braxton Hicks Contractions,gapdoc00231,Braxton Hicks Contractions (Scope Note),,,,,Active
conditionfidp2321,condition,Conditions,fidp2321,Breast Abscess,uh2663,breast abscess,Condition,,,,Active
conditionfidp1271,condition,Conditions,fidp1271,Breast Cancer,gapdoc00171,Breast Cancer,Condition,,,,Active
conditionfidp8496,condition,Conditions,fidp8496,Breast Engorgement,uf8010,"breast engorgement, postpartum",Condition,,,,Active
conditionfidp3049,condition,Conditions,fidp3049,Breast Infection (Mastitis),uh2819,mastitis,Condition,,,,Active
conditionfidp2322,condition,Conditions,fidp2322,Breast Lumps,uh2714,breast mass-(a sign) not a diagnosis,,,,,Active
conditionfidp8497,condition,Conditions,fidp8497,Breast Pain,uf7074,breast pain/mastodynia,Symptom,,,,Active
conditionfidp1311,condition,Conditions,fidp1311,Breast Problems,,,,,,BROAD,Active
conditionfidp1732,condition,Conditions,fidp1732,Breath-Holding Spells,ad1702,breath holding,Symptom,,,,Active
conditionfidp445,condition,Conditions,fidp445,Breathing Problems,,,,,,BROAD,Active
conditionfidp9241,condition,Conditions,fidp9241,Breathing Problems (Newborns),,,,,,MULTI,Active
conditionfidp9242,condition,Conditions,fidp9242,Breech Position and Birth,uh4179,breech presentation (Scope note),Condition,,,,Active
conditionfidp8849,condition,Conditions,fidp8849,Broken (Fractured) Ankle,uf7317,ankle fracture,Condition,,,,Active
conditionfidp8843,condition,Conditions,fidp8843,Broken (Fractured) Arm,uf7328,arm fracture ,Condition,,,,Active
conditionfidp8213,condition,Conditions,fidp8213,Broken (Fractured) Collarbone,te8240,clavicle fracture,Condition,,,,Active
conditionfidp8844,condition,Conditions,fidp8844,Broken (Fractured) Elbow,uf7340,elbow fracture,Condition,,,,Active
conditionfidp8851,condition,Conditions,fidp8851,Broken (Fractured) Finger,uf7427,finger fracture,Condition,,,,Active
conditionfidp8852,condition,Conditions,fidp8852,Broken (Fractured) Foot,uf7718,foot fracture,,,,,Active
conditionfidp8845,condition,Conditions,fidp8845,Broken (Fractured) Hand,uf7351,hand fracture,Condition,,,,Active
conditionfidp8846,condition,Conditions,fidp8846,Broken (Fractured) Jaw,uf8268,jaw fracture,Condition,,,,Active
conditionfidp8853,condition,Conditions,fidp8853,Broken (Fractured) Leg,,,,,,MULTI,Active
conditionfidp8847,condition,Conditions,fidp8847,Broken (Fractured) Neck,uf7371,cervical fracture-(broken neck),Condition,,,,Active
conditionfidp8848,condition,Conditions,fidp8848,Broken (Fractured) Pelvis,uh5184,pelvic fracture,Condition,,,,Active
conditionfidp476,condition,Conditions,fidp476,Broken (Fractured) Rib,uf8278,rib fracture ,Condition,,,,Active
conditionfidp9243,condition,Conditions,fidp9243,Broken (Fractured) Sternum,,,,,abo7721,,Active
conditionfidp8875,condition,Conditions,fidp8875,Broken (Fractured) Toe,ut2255,toe fracture,Condition,,,,Active
conditionfidp8854,condition,Conditions,fidp8854,Broken (Fractured) Upper Arm,zp4101,humerus fracture ,Condition,,,,Active
conditionfidp8674,condition,Conditions,fidp8674,Broken (Fractured) Wrist,uf7416,wrist fracture,Condition,,,,Active
conditionfidp3007,condition,Conditions,fidp3007,Broken Bones (Fractures),,,,,,BROAD,Active
conditionfidp8855,condition,Conditions,fidp8855,Broken Kneecap,uh3459,patellar fracture,Condition,,,,Active
conditionfidp9244,condition,Conditions,fidp9244,Broken Nose,uf7723,broken nose,Condition,,,,Active
conditionfidp8499,condition,Conditions,fidp8499,Broken or Chipped Tooth,uh3732 ,tooth fracture,Condition,,,,Active
conditionfidp392,condition,Conditions,fidp392,Bronchiectasis,uf9063,bronchiectasis,Condition,,,,Active
conditionfidp944,condition,Conditions,fidp944,Bronchiolitis,tw12197,bronchiolitis,Condition,,,,Active
conditionfidp84,condition,Conditions,fidp84,Bronchitis,uf7150,bronchitis,Condition,,,,Active
conditionfidp2323,condition,Conditions,fidp2323,Bronchopulmonary Dysplasia,uf9013,bronchopulmonary dysplasia,Condition,,,,Active
conditionfidp9245,condition,Conditions,fidp9245,Bruises (Contusions),ut2892,bruises (contusions),Condition,,,,Active
conditionfidp9246,condition,Conditions,fidp9246,Bruising in Newborns,,,,C0410993,,,Active
conditionfidp9247,condition,Conditions,fidp9247,Buerger's Disease,,,,C0040021,,,Active
conditionfidp5058,condition,Conditions,fidp5058,Bulimia,tw12387,bulimia,Condition,,,,Active
conditionfidp1258,condition,Conditions,fidp1258,Bullying,,,,,"uf4879,uf4902",,Active
conditionfidp539,condition,Conditions,fidp539,Bunions,uf8579,bunions,Condition,,,,Active
conditionfidp5070,condition,Conditions,fidp5070,Burns,,,,,,BROAD,Active
conditionfidp8530,condition,Conditions,fidp8530,Burns to the Eye,,,,,,MULTI,Active
conditionfidp824,condition,Conditions,fidp824,Bursitis,uf7559,bursitis NOS,Condition,,,,Active
conditionfidp9249,condition,Conditions,fidp9249,Calcific Tendinitis,,,,,tw9144 ,,Active
conditionfidp9250,condition,Conditions,fidp9250,Calf Strain,,,,C0563284,,,Active
conditionfidp190,condition,Conditions,fidp190,Canavan Disease,,,,C0206307,,,Active
conditionfidp1449,condition,Conditions,fidp1449,Cancer (General),,,,C0006826,,,Active
conditionfidp8501,condition,Conditions,fidp8501,Cancer Pain,ug5602,cancer pain,Symptom,,,,Active
conditionfidp3009,condition,Conditions,fidp3009,Canker Sores,uh3707,aphthous ulcer,Condition,,,,Active
conditionfidp9251,condition,Conditions,fidp9251,Capillary Fragility,,,,C0006905,,,Active
conditionfidp8502,condition,Conditions,fidp8502,Carbon Monoxide Poisoning,uf7728,carbon monoxide poisoning,Condition,,,,Active
conditionfidp1040,condition,Conditions,fidp1040,Carcinoid Syndrome,,,,C0024586,,,Active
conditionfidp9252,condition,Conditions,fidp9252,Carcinoma of Unknown Primary Origin (CUP),,,,,ncicdr0000062729,,Active
conditionfidp8503,condition,Conditions,fidp8503,Cardiac Arrest,,,,C0018790,,,Active
conditionfidp8504,condition,Conditions,fidp8504,Cardiac Cachexia,,,,,tx4124abc ,,Active
conditionfidp485,condition,Conditions,fidp485,Cardiomyopathy,,,,,,MULTI,Active
conditionfidp9253,condition,Conditions,fidp9253,Cardiopulmonary Syndromes,,,,,,BROAD (ncicdr0000352193 ),Active
conditionfidp2327,condition,Conditions,fidp2327,Carotid Artery Disease,tw12491,carotid stenosis,Condition,,,,Active
conditionfidp2328,condition,Conditions,fidp2328,Carotidynia,zc1461,carotidynia,Condition,,,,Active
conditionfidp1308,condition,Conditions,fidp1308,Carpal Tunnel Syndrome,uf8851,carpal tunnel syndrome,Condition,,,,Active
conditionfidp3010,condition,Conditions,fidp3010,Cat Scratch Disease,ad2035,cat scratch disease,Condition,,,,Active
conditionfidp1458,condition,Conditions,fidp1458,Cataracts,ut1939,cataracts,Condition,,,,Active
conditionfidp624,condition,Conditions,fidp624,Celiac Disease,abp7938,celiac disease,Condition,,,,Active
conditionfidp3256,condition,Conditions,fidp3256,Cellulitis,av2542,cellulitis,Condition,,,,Active
conditionfidp2331,condition,Conditions,fidp2331,Cellulitis of the Eye,tw12470,periorbital cellulitis,Condition,,,,Active
conditionfidp1054,condition,Conditions,fidp1054,Cerebral Palsy,uh4363,cerebral palsy,Condition,,,,Active
conditionfidp1426,condition,Conditions,fidp1426,Cervical Cancer,uf8963,cervical cancer,Condition,,,,Active
conditionfidp9254,condition,Conditions,fidp9254,Cervical Cell Changes and Dysplasia,,,,,,MULTI,Active
conditionfidp8506,condition,Conditions,fidp8506,Cervical Disc Disease,zc1411,cervical disc disease,Condition,,,,Active
conditionfidp2332,condition,Conditions,fidp2332,Cervical Myelopathy,zc1841,cervical myelopathy,Unknown,,,,Active
conditionfidp8507,condition,Conditions,fidp8507,Cervical Polyps,tw12258,cervical polyps,Condition,,,,Active
conditionfidp749,condition,Conditions,fidp749,Cervicitis,uh3333,cervicitis,Condition,,,,Active
conditionfidp720,condition,Conditions,fidp720,Chancroid,ut3234,chancroid,Condition,,,,Active
conditionfidp2333,condition,Conditions,fidp2333,Charcot Foot,uf8589,charcot foot,Condition,,,,Active
conditionfidp1792,condition,Conditions,fidp1792,Chemical Burns,,,,,,MULTI,Active
conditionfidp9255,condition,Conditions,fidp9255,Chemical Urethritis,bo1325,"chemical urethritis, pediatric",Condition,,,,Active
conditionfidp8221,condition,Conditions,fidp8221,Chemo Brain,,,,,abp8167 ,no UMLS equivalent,Active
conditionfidp9256,condition,Conditions,fidp9256,Chest Contusion,uf7538,chest wall contusion,Condition,,,,Active
conditionfidp1442,condition,Conditions,fidp1442,Chest Injuries and Problems,,,,,,BROAD,Active
conditionfidp1719,condition,Conditions,fidp1719,Chest Pain,,,,,,MULTI,Active
conditionfidp1460,condition,Conditions,fidp1460,Chickenpox,uf8362,chicken pox,Condition,,,,Active
conditionfidp984,condition,Conditions,fidp984,Chilblains,,,,C0008058,,,Active
conditionfidp3229,condition,Conditions,fidp3229,Child Abuse and Neglect,uh4465,child abuse,Condition,,,,Active
conditionfidp3044,condition,Conditions,fidp3044,Childbirth,,,,,,MULTI,Active
conditionfidp8508,condition,Conditions,fidp8508,Childbirth Afterpains,,,,C0848200,,,Active
conditionfidp8509,condition,Conditions,fidp8509,Chlamydia,uh3093,chlamydia urethritis,Condition,,,,Active
conditionfidp724,condition,Conditions,fidp724,Choanal Atresia,,,,C0008297,,,Active
conditionfidp725,condition,Conditions,fidp725,Choking,gapdoc00137,choking,Symptom,,,,Active
conditionfidp231,condition,Conditions,fidp231,Cholera,,,,C0008354,,,Active
conditionfidp9257,condition,Conditions,fidp9257,Cholestasis of Pregnancy,tw12250,cholestasis of pregnancy,Condition,,,,Active
conditionfidp2336,condition,Conditions,fidp2336,Cholesteatoma,uh5079,cholesteatoma,Condition,,,,Active
conditionfidp9258,condition,Conditions,fidp9258,Chronic Bronchitis,uf10350,chronic bronchitis,Condition,,,,Active
conditionfidp9259,condition,Conditions,fidp9259,Chronic Candidiasis,,,,C1282985,,,Active
conditionfidp9260,condition,Conditions,fidp9260,Chronic Disease,,,,C0008679,,,Active
conditionfidp1809,condition,Conditions,fidp1809,Chronic Fatigue Syndrome (CFS),uh4339,chronic fatigue syndrome,Condition,,,,Active
conditionfidp9261,condition,Conditions,fidp9261,Chronic Hives,uf10234,hives (chronic),Condition,,,,Active
conditionfidp2339,condition,Conditions,fidp2339,Chronic Kidney Disease (CKD),tw12420,chronic kidney disease (all stages),Condition,,,,Active
