facetName,facetValueId,facetValueLabel
Conditions,fidp8847,Broken (Fractured) Neck
Conditions,fidp8848,Broken (Fractured) Pelvis
Conditions,fidp476,Broken (Fractured) Rib
Conditions,fidp9243,Broken (Fractured) Sternum
Conditions,fidp8875,Broken (Fractured) Toe
Conditions,fidp8854,Broken (Fractured) Upper Arm
Conditions,fidp8674,Broken (Fractured) Wrist
Conditions,fidp3007,Broken Bones (Fractures)
Conditions,fidp8855,Broken Kneecap
Conditions,fidp9244,Broken Nose
Conditions,fidp8499,Broken or Chipped Tooth
Conditions,fidp392,Bronchiectasis
Conditions,fidp944,Bronchiolitis
Conditions,fidp84,Bronchitis
Conditions,fidp2323,Bronchopulmonary Dysplasia
Conditions,fidp9245,Bruises (Contusions)
Conditions,fidp9246,Bruising in Newborns
Conditions,fidp9247,Buerger's Disease
Conditions,fidp5058,Bulimia
Conditions,fidp1258,Bullying
Conditions,fidp539,Bunions
Conditions,fidp5070,Burns
Conditions,fidp8530,Burns to the Eye
Conditions,fidp824,Bursitis
Conditions,fidp9249,Calcific Tendinitis
Conditions,fidp9250,Calf Strain
Conditions,fidp190,Canavan Disease
Conditions,fidp1449,Cancer (General)
Conditions,fidp8501,Cancer Pain
Conditions,fidp3009,Canker Sores
Conditions,fidp9251,Capillary Fragility
Conditions,fidp8502,Carbon Monoxide Poisoning
Conditions,fidp1040,Carcinoid Syndrome
Conditions,fidp9252,Carcinoma of Unknown Primary Origin (CUP)
Conditions,fidp8503,Cardiac Arrest
Conditions,fidp8504,Cardiac Cachexia
Conditions,fidp485,Cardiomyopathy
Conditions,fidp9253,Cardiopulmonary Syndromes
Conditions,fidp2327,Carotid Artery Disease
Conditions,fidp2328,Carotidynia
Conditions,fidp1308,Carpal Tunnel Syndrome
Conditions,fidp3010,Cat Scratch Disease
Conditions,fidp1458,Cataracts
Conditions,fidp624,Celiac Disease
Conditions,fidp3256,Cellulitis
Conditions,fidp2331,Cellulitis of the Eye
Conditions,fidp1054,Cerebral Palsy
Conditions,fidp1426,Cervical Cancer
Conditions,fidp9254,Cervical Cell Changes and Dysplasia
Conditions,fidp8506,Cervical Disc Disease
Conditions,fidp2332,Cervical Myelopathy
Conditions,fidp8507,Cervical Polyps
Conditions,fidp749,Cervicitis
Conditions,fidp720,Chancroid
Conditions,fidp2333,Charcot Foot
Conditions,fidp1792,Chemical Burns
Conditions,fidp9255,Chemical Urethritis
Conditions,fidp8221,Chemo Brain
Conditions,fidp9256,Chest Contusion
Conditions,fidp1442,Chest Injuries and Problems
Conditions,fidp1719,Chest Pain
Conditions,fidp1460,Chickenpox
Conditions,fidp984,Chilblains
Conditions,fidp3229,Child Abuse and Neglect
Conditions,fidp3044,Childbirth
Conditions,fidp8508,Childbirth Afterpains
Conditions,fidp8509,Chlamydia
Conditions,fidp724,Choanal Atresia
Conditions,fidp725,Choking
Conditions,fidp231,Cholera
Conditions,fidp9257,Cholestasis of Pregnancy
Conditions,fidp2336,Cholesteatoma
Conditions,fidp9258,Chronic Bronchitis
Conditions,fidp9259,Chronic Candidiasis
Conditions,fidp9260,Chronic Disease
Conditions,fidp1809,Chronic Fatigue Syndrome (CFS)
Conditions,fidp9261,Chronic Hives
Conditions,fidp2339,Chronic Kidney Disease (CKD)
Conditions,fidp9262,Chronic Kidney Disease Stage 5 (ESRD)
Conditions,fidp1194,Chronic Lung Disease
Conditions,fidp9263,Chronic Lymphocytic Leukemia (CLL)
Conditions,fidp9264,Chronic Myelogenous Leukemia (CML)
Conditions,fidp435,Chronic Pain
Conditions,fidp5060,Chronic Pain Syndrome (CPS)
Conditions,fidp2340,Chronic Pancreatitis
Conditions,fidp1048,Chronic Pelvic Pain
Conditions,fidp9265,Chronic Pulmonary Heart Disease
Conditions,fidp9266,Chronic Sinusitis
Conditions,fidp3215,Circulatory Shock
Conditions,fidp40,Cirrhosis
Conditions,fidp2598,Cleft Lip and Palate
Conditions,fidp9267,Clostridium Difficile Colitis
Conditions,fidp9268,Clotting Factor Deficiencies
Conditions,fidp772,Clubfoot
Conditions,fidp408,Cluster Headaches
Conditions,fidp9248,CNS Embryonal Tumors
Conditions,fidp2341,Coarctation of the Aorta
Conditions,fidp9269,Codependency
Conditions,fidp8510,Cognitive Impairment
Conditions,fidp8511,Cold Hands
Conditions,fidp1568,Cold Sores (Fever Blisters)
Conditions,fidp9270,Cold Temperature Exposure
Conditions,fidp702,Colds (Upper Respiratory Infections)
Conditions,fidp1604,Colic
Conditions,fidp8808,Colitis
Conditions,fidp263,Collapsed Lung
Conditions,fidp89,Colon Polyps
Conditions,fidp791,Color Blindness
Conditions,fidp9271,Colorado Tick Fever
Conditions,fidp5074,Colorectal Cancer
Conditions,fidp139,Compartment Syndrome
Conditions,fidp8512,Complex Regional Pain Syndromes (CRPS)
Conditions,fidp1612,Compression Fractures
Conditions,fidp9272,Concussion
Conditions,fidp1805,Confusion
Conditions,fidp2343,Congenital Heart Defects
Conditions,fidp5719,Congenital Hypothyroidism
Conditions,fidp274,Congenital Torticollis
Conditions,fidp384,Constipation
Conditions,fidp9273,Contact Lens Problems
Conditions,fidp1566,COPD
Conditions,fidp2345,Corneal Scratches
Conditions,fidp1693,Corns and Calluses
Conditions,fidp5036,Coronary Artery Disease (CAD)
Conditions,fidp9274,Costochondritis Chest Wall Pain
Conditions,fidp9275,Coughing Blood
Conditions,fidp2346,Coughs (General)
Conditions,fidp8521,Cracked Skin
Conditions,fidp2347,Cradle Cap
Conditions,fidp9121,Craniopharyngioma
Conditions,fidp9276,Crohn's Disease
Conditions,fidp1178,Croup
Conditions,fidp9277,Crying
Conditions,fidp9278,Cushing's Syndrome
Conditions,fidp8514,Cuts (Lacerations)
Conditions,fidp1483,Cystic Fibrosis
Conditions,fidp9279,Cytomegalovirus (CMV) Infection
Conditions,fidp1736,Dandruff
Conditions,fidp8515,Daytime Wetting
Conditions,fidp9280,De Quervain's Disease
Conditions,fidp1314,Deep Vein Thrombosis (DVT)
Conditions,fidp8516,Degenerative Disc Disease (DDD)
Conditions,fidp1013,Dehydration
Conditions,fidp2351,Delayed Breast Development
Conditions,fidp5007,Delirium
Conditions,fidp264,Dementia
Conditions,fidp8727,Dengue Fever
Conditions,fidp8517,Dense Breasts
Conditions,fidp9281,Dental Pain
Conditions,fidp321,Depression
Conditions,fidp9282,Depression in Children and Teens
Conditions,fidp9283,Dermatitis Herpetiformis
Conditions,fidp2353,Developmental Problems
Conditions,fidp1738,Deviated Nasal Septum
Conditions,fidp1118,Diabetes
Conditions,fidp2355,Diabetes in Children
Conditions,fidp9284,Diabetes Type 1
Conditions,fidp9285,Diabetes Type 2
Conditions,fidp9286,Diabetic Foot Problems
Conditions,fidp2356,Diabetic Ketoacidosis (DKA)
Conditions,fidp9287,Diabetic Mother Syndrome
Conditions,fidp3251,Diabetic Nephropathy
Conditions,fidp3201,Diabetic Neuropathy
Conditions,fidp1634,Diabetic Retinopathy
Conditions,fidp232,Diaper Rash
Conditions,fidp108,Diarrhea
Conditions,fidp21,Difficulty Swallowing (Dysphagia)
Conditions,fidp1539,Dilated Cardiomyopathy
Conditions,fidp3174,DISH
Conditions,fidp8860,Dislocated Ankle
Conditions,fidp8861,Dislocated Elbow
Conditions,fidp8862,Dislocated Finger
Conditions,fidp9288,Dislocated Hip
Conditions,fidp8863,Dislocated Jaw
Conditions,fidp8671,Dislocated Kneecap
Conditions,fidp8864,Dislocated Shoulder
Conditions,fidp8865,Dislocated Thumb
Conditions,fidp8866,Dislocated Toe
Conditions,fidp8867,Dislocated Wrist
Conditions,fidp992,Diverticular Bleeding
Conditions,fidp1492,Diverticular Disease
Conditions,fidp9289,Diverticulitis and Diverticulosis
Conditions,fidp9045,Dizziness
Conditions,fidp3228,Domestic Abuse and Violence
Conditions,fidp9290,Double Vision
Conditions,fidp1496,Down Syndrome
Conditions,fidp302,Drooping Eyelid
Conditions,fidp2294,Drug Abuse and Dependence (Non-Alcohol)
Conditions,fidp8665,Drug Allergies and Adverse Reactions
Conditions,fidp8522,Dry Eye Syndrome
Conditions,fidp2360,Dry Eyes
Conditions,fidp1784,Dry Mouth
Conditions,fidp8520,Dry Skin and Itching
Conditions,fidp8723,Dry Socket
Conditions,fidp3082,Dumping Syndrome
Conditions,fidp9291,Dupuytren's Disease
Conditions,fidp1148,Dyslexia
Conditions,fidp2591,E. Coli Infection
Conditions,fidp91,Ear Infections
Conditions,fidp1731,Ear Injuries and Problems
Conditions,fidp2361,Earache
Conditions,fidp3020,Earwax Blockage
Conditions,fidp985,Eating Disorders
Conditions,fidp8702,Ebola or Marburg Virus Infection
Conditions,fidp9292,Eclampsia
Conditions,fidp1680,Ectopic Pregnancy
Conditions,fidp1682,Eczema (Atopic Dermatitis)
Conditions,fidp528,Edema
Conditions,fidp387,Ehlers-Danlos Syndrome (EDS)
Conditions,fidp9293,Ehrlichiosis Tick Illness
Conditions,fidp8525,Elbow Bursitis
Conditions,fidp2363,Elbow Injuries and Problems
Conditions,fidp8720,Elbow Pain
Conditions,fidp9294,Elbow Sprain
Conditions,fidp8527,Elder Abuse and Neglect
Conditions,fidp2364,Electric Shock and Burns
Conditions,fidp2365,Electrolyte Imbalance
Conditions,fidp8528,Emotional Eating
Conditions,fidp9295,Emotional Problems
Conditions,fidp9296,Emphysema
Conditions,fidp3021,Encephalitis
Conditions,fidp2366,Encephalopathy
Conditions,fidp733,Endocarditis
Conditions,fidp1528,Endometriosis
Conditions,fidp9297,Enlarged Prostate (BPH)
Conditions,fidp2354,Enlarged Turbinates
Conditions,fidp1763,Enterovirus Infection
Conditions,fidp3241,Environmental Illnesses
Conditions,fidp9094,Ependymoma
Conditions,fidp3023,Epididymitis
Conditions,fidp3025,Epiglottitis
Conditions,fidp516,Epilepsy
Conditions,fidp1793,Erectile Dysfunction
Conditions,fidp9048,Erythema Multiforme
Conditions,fidp5721,Esophageal Atresia
Conditions,fidp783,Esophageal Cancer
Conditions,fidp8529,Esophageal Spasm
Conditions,fidp9298,Esophageal Varices
Conditions,fidp3248,Esophagitis
Conditions,fidp2368,Essential Tremor
Conditions,fidp9299,Eustachian Tube Dysfunction
Conditions,fidp9108,Ewing Sarcoma
Conditions,fidp8626,Excessive Air Swallowing
Conditions,fidp9127,Extragonadal Germ Cell Tumors
Conditions,fidp1644,Eye Injuries and Problems
Conditions,fidp2370,Eye Irritation
Conditions,fidp297,Eyelid Problems
Conditions,fidp501,Eyelid Twitching
Conditions,fidp289,Fabry Disease
Conditions,fidp8850,Facial Fracture
Conditions,fidp2372,Facial Injuries and Problems
Conditions,fidp2373,Factor V Leiden
Conditions,fidp2374,Failure to Thrive
Conditions,fidp61,Fainting
Conditions,fidp8531,Familial Lipid Disorders
Conditions,fidp304,Farsightedness
Conditions,fidp9300,Fast Heart Rate (Tachycardia)
Conditions,fidp3026,Fatigue
Conditions,fidp2377,Fecal Incontinence
Conditions,fidp9301,Female Genital Injuries and Problems
Conditions,fidp8532,Femoral Hernia
Conditions,fidp8219,Fetal Alcohol Spectrum Disorders (FASD)
Conditions,fidp2378,Fetal Death
Conditions,fidp1699,Fever
Conditions,fidp8438,Fever Seizures
Conditions,fidp1754,Fibrocystic Breasts
Conditions,fidp723,Fibromyalgia
Conditions,fidp1512,Fifth Disease
Conditions,fidp9302,Finger Bruise
Conditions,fidp8533,Finger Injuries and Problems
Conditions,fidp9303,Finger Sprain
Conditions,fidp776,First-Degree Burn
Conditions,fidp1595,Fishhook Injuries
Conditions,fidp717,Fitz Hugh Curtis Syndrome
Conditions,fidp9304,Flank Pain
Conditions,fidp8664,Flat Head Syndrome
Conditions,fidp197,Flatfoot
Conditions,fidp2379,Floaters and Flashes
Conditions,fidp9305,Flu (Influenza)
Conditions,fidp8677,Folic Acid Deficiency Anemia
Conditions,fidp3027,Folliculitis
Conditions,fidp2381,Food Allergy and Intolerance
Conditions,fidp2382,Food Poisoning
Conditions,fidp9306,Foot Arthritis
Conditions,fidp498,Foot Injuries and Problems
Conditions,fidp1127,Foot Odor
Conditions,fidp8916,Foot Pain
Conditions,fidp9307,Foot Sprain
Conditions,fidp9308,Fournier's Gangrene
Conditions,fidp2384,Frailty
Conditions,fidp2385,Frequent Urination
Conditions,fidp1289,Frostbite
Conditions,fidp3028,Frozen Shoulder
Conditions,fidp8536,Fulminant Hepatitis
Conditions,fidp8839,Functional Incontinence
Conditions,fidp9309,Fungal Ear Infection (Otomycosis)
Conditions,fidp1322,Fungal Infections
Conditions,fidp9310,Fungal Nail Infections (Onychomycosis)
Conditions,fidp2386,Galactorrhea
Conditions,fidp9311,Gallbladder Cancer
Conditions,fidp2387,Gallbladder Disorders
Conditions,fidp9312,Gallbladder Inflammation (Cholecystitis)
Conditions,fidp8537,Gallstones
Conditions,fidp2388,Ganglions
Conditions,fidp695,Gangrene
Conditions,fidp2315,Gas Bloating and Burping
Conditions,fidp3029,Gastritis
Conditions,fidp9313,Gastrointestinal Cancer
Conditions,fidp5723,Gastroschisis
Conditions,fidp367,Gaucher Disease
Conditions,fidp3031,Genital Herpes
Conditions,fidp9314,Genital Problems and Injuries
Conditions,fidp9315,Genital Warts (HPV Infection)
Conditions,fidp669,GERD
Conditions,fidp9316,Germ Cell Tumors
Conditions,fidp2391,Gestational Diabetes
Conditions,fidp9317,Gestational Trophoblastic Disease (GTD)
Conditions,fidp2389,GI Bleeding
Conditions,fidp1586,Giardiasis
Conditions,fidp1228,Glaucoma
Conditions,fidp1263,Glomerulonephritis
Conditions,fidp3032,Glossitis
Conditions,fidp9318,Gluteal Strain
Conditions,fidp1570,Goiter
Conditions,fidp9319,Golfer's Elbow
Conditions,fidp8539,Gonorrhea
Conditions,fidp9320,Goodpasture's Syndrome
Conditions,fidp1479,Gout
Conditions,fidp2392,Graves Disease
Conditions,fidp436,Grief
Conditions,fidp2393,Groin Injuries and Problems
Conditions,fidp8540,Group B Strep
Conditions,fidp3081,Growing Pains
Conditions,fidp1292,Guillain-Barre Syndrome (GBS)
Conditions,fidp8541,Gum Disease
Conditions,fidp227,Gynecomastia
Conditions,fidp3033,H. Pylori Infection
Conditions,fidp1060,Hair Loss
Conditions,fidp9095,Hairy Cell Leukemia
Conditions,fidp9321,Hammer Claw or Mallet Toe
Conditions,fidp9322,Hamstring Strain
Conditions,fidp9323,Hand Arthritis
Conditions,fidp8542,Hand Injuries and Problems
Conditions,fidp2394,Hand Pain
Conditions,fidp9324,Hand Sprain
Conditions,fidp9325,Hand-Foot Syndrome
Conditions,fidp3034,Hand-Foot-and-Mouth Disease
Conditions,fidp1156,Hangnail
Conditions,fidp2395,Hantavirus Pulmonary Syndrome (HPS)
Conditions,fidp9326,Hardening of the Arteries (Atherosclerosis)
Conditions,fidp9327,Hashimoto's Thyroiditis
Conditions,fidp2397,Head and Neck Cancer
Conditions,fidp9328,Head Injuries
Conditions,fidp9329,Head or Face Pain
Conditions,fidp1147,Headaches (General)
Conditions,fidp1361,Hearing Loss
Conditions,fidp140,Heart Attack
Conditions,fidp9330,Heart Blocks
Conditions,fidp987,Heart Disease
Conditions,fidp395,Heart Failure
Conditions,fidp1408,Heart Murmur
Conditions,fidp1099,Heart Problems
Conditions,fidp3004,Heart Rhythm Disorders
Conditions,fidp8706,Heart Tumors
Conditions,fidp1307,Heart Valve Disease
Conditions,fidp1704,Heartburn
Conditions,fidp964,Heat Exhaustion
Conditions,fidp8545,Heat Rash
Conditions,fidp1285,Heat-Related Illness
Conditions,fidp659,Heatstroke
Conditions,fidp8546,Heavy Metal Poisoning
Conditions,fidp9331,Heavy Periods (Menorrhagia)
Conditions,fidp8547,Heel Bursitis
Conditions,fidp8548,Heel Pain
Conditions,fidp412,HELLP Syndrome
Conditions,fidp9332,Hematoma
Conditions,fidp9333,Hemochromatosis
Conditions,fidp9334,Hemolytic Uremic Syndrome
Conditions,fidp1033,Hemophilia
Conditions,fidp862,Hemorrhoids
Conditions,fidp9335,Heno-Schonlein Purpura
Conditions,fidp151,Hepatitis
Conditions,fidp651,Hepatitis A
Conditions,fidp1833,Hepatitis B
Conditions,fidp1540,Hepatitis C
Conditions,fidp1712,Hepatitis D
Conditions,fidp8549,Hepatitis E
Conditions,fidp281,Hernia
Conditions,fidp1164,Herniated Disc
Conditions,fidp9336,Herpes Gingivostomatitis
Conditions,fidp8550,Hiatal Hernia
Conditions,fidp405,Hiccups
Conditions,fidp9337,High Blood Calcium (Hypercalcemia)
Conditions,fidp682,High Blood Pressure
Conditions,fidp3195,High Blood Pressure During Pregnancy
Conditions,fidp2401,High Blood Sugar (Hyperglycemia)
Conditions,fidp185,High Cholesterol
Conditions,fidp9339,High Phosphorus Level (Hyperphosphatemia)
Conditions,fidp9340,High Potassium Level (Hyperkalemia)
Conditions,fidp9341,High Risk Pregnancy
Conditions,fidp535,High Triglycerides
Conditions,fidp9342,High White Blood Cell Count
Conditions,fidp9343,Hip Arthritis
Conditions,fidp8552,Hip Bursitis
Conditions,fidp193,Hip Dysplasia
Conditions,fidp9344,Hip Flexor Strain
Conditions,fidp9345,Hip Fracture
Conditions,fidp910,Hip Injuries and Problems
Conditions,fidp9346,Hip Pain
Conditions,fidp9347,Hip Sprain
Conditions,fidp9348,Hirschsprung's Disease
Conditions,fidp2402,Hirsutism
Conditions,fidp2404,HIV/AIDS
Conditions,fidp2405,Hives
Conditions,fidp9349,Hoarding Disorder
Conditions,fidp2406,Hoarseness
Conditions,fidp9350,Hodgkin's Lymphoma
Conditions,fidp8555,Homocystinuria
Conditions,fidp9351,Hospital Infections
Conditions,fidp8713,Hospital-Acquired Pneumonia
Conditions,fidp8683,Hot Flashes
Conditions,fidp5024,Human Bites
Conditions,fidp9352,Hunter Syndrome
Conditions,fidp9353,Huntington's Disease
Conditions,fidp1074,Hydroceles
Conditions,fidp9354,Hyperemesis Gravidarum (HG)
Conditions,fidp9355,Hyperlipidemia
Conditions,fidp3040,Hyperparathyroidism
Conditions,fidp1143,Hyperthyroidism
Conditions,fidp397,Hypertrophic Cardiomyopathy
Conditions,fidp133,Hyperventilation
Conditions,fidp5725,Hyperviscosity Syndrome
Conditions,fidp2410,Hyphema
Conditions,fidp2414,Hypomania
Conditions,fidp3042,Hypoparathyroidism
Conditions,fidp707,Hypoplastic Left Heart Syndrome
Conditions,fidp1799,Hypospadias
Conditions,fidp1366,Hypothermia
Conditions,fidp530,Hypothyroidism
Conditions,fidp2416,Hypoxemia
Conditions,fidp9356,Idiopathic Thrombocytopenic Purpura (ITP)
Conditions,fidp932,Iliotibial Band Syndrome (ITBS)
Conditions,fidp2417,Imperforate Hymen
Conditions,fidp763,Impetigo
Conditions,fidp9357,Incomplete Miscarriage
Conditions,fidp1687,Incontinence
Conditions,fidp1511,Indigestion
Conditions,fidp8832,Infant Respiratory Distress Syndrome (RDS)
Conditions,fidp1286,Infantile Spasms
Conditions,fidp9358,Infections (General)
Conditions,fidp1282,Infertility
Conditions,fidp1625,Inflammatory Bowel Disease (IBD)
Conditions,fidp9359,Ingested Poison
Conditions,fidp3257,Ingrown Nail
Conditions,fidp2425,Inguinal Hernia
Conditions,fidp1420,Injuries (General)
Conditions,fidp8557,Insect Bites and Stings
Conditions,fidp3207,Insect Sting Allergies
Conditions,fidp1550,Insomnia
Conditions,fidp8558,Insulin Resistance
Conditions,fidp8725,Intermittent Claudication
Conditions,fidp2426,Interstitial Cystitis
Conditions,fidp2427,Interstitial Lung Disease
Conditions,fidp93,Intestinal Malrotation
Conditions,fidp2428,Intoeing
Conditions,fidp9360,Intraocular (Uveal) Melanoma
Conditions,fidp9361,Intraventricular Hemorrhage (IVH)
Conditions,fidp2429,Intussusception
Conditions,fidp8447,Iron Deficiency Anemia
Conditions,fidp2431,Irritable Bowel Syndrome (IBS)
Conditions,fidp8562,Ischemia
Conditions,fidp9362,Islet Cell Tumors (Pancreatic Neuroendocrine Tumors)
Conditions,fidp1818,Jaundice
